filename,prediction_type,semantic_cause
fn_near_00_E_000258_a150335.jpg,FN,motion_blur
fn_near_01_E_000288_a146556.jpg,FN,motion_blur
fn_near_02_E_000000_a144143.jpg,FN,label_noise
fn_near_03_E_000264_a139356.jpg,FN,truncated
fn_near_04_E_000294_a127550.jpg,FN,motion_blur
fn_near_05_E_000006_a124739.jpg,FN,label_noise
fn_near_06_E_000276_a105508.jpg,FN,motion_blur
fn_near_07_E_000288_a101043.jpg,FN,motion_blur
fn_near_08_E_000678_a99580.jpg,FN,motion_blur
fn_near_09_E_000270_a98052.jpg,FN,motion_blur
fn_near_10_E_000318_a93599.jpg,FN,truncated
fn_near_11_E_000516_a92895.jpg,FN,motion_blur
fn_near_12_E_000696_a91133.jpg,FN,truncated
fn_near_13_E_000600_a90652.jpg,FN,motion_blur
fn_near_14_E_000612_a90525.jpg,FN,truncated
fn_near_15_E_000606_a89559.jpg,FN,motion_blur
fn_near_16_E_000522_a89034.jpg,FN,motion_blur
fn_near_17_E_000576_a89020.jpg,FN,motion_blur
fn_near_18_E_000588_a88519.jpg,FN,motion_blur
fn_near_19_E_000690_a88208.jpg,FN,truncated
fn_near_20_E_000582_a87948.jpg,FN,motion_blur
fn_near_21_E_000540_a87366.jpg,FN,motion_blur
fn_near_22_E_000144_a85320.jpg,FN,motion_blur
fn_near_23_E_000300_a84736.jpg,FN,truncated
fn_near_24_E_000564_a82944.jpg,FN,motion_blur
fn_near_25_E_000618_a82787.jpg,FN,truncated
fn_near_26_E_000276_a82677.jpg,FN,motion_blur
fn_near_27_E_000510_a79559.jpg,FN,truncated
fn_near_28_E_000624_a77685.jpg,FN,truncated
fn_near_29_E_000504_a73260.jpg,FN,truncated
fn_near_30_E_000642_a71428.jpg,FN,truncated
fn_near_31_E_000636_a69498.jpg,FN,truncated
fn_near_32_E_000630_a69155.jpg,FN,truncated
fn_near_33_E_000654_a68328.jpg,FN,truncated
fn_near_34_E_000648_a67555.jpg,FN,truncated
fn_near_35_E_000666_a62236.jpg,FN,truncated
fn_near_36_E_000324_a54810.jpg,FN,truncated
fn_near_37_E_000750_a49770.jpg,FN,truncated
fn_near_38_E_000744_a47735.jpg,FN,truncated
fn_near_39_F_000250_a26048.jpg,FN,label_noise
fn_near_40_F_000230_a15017.jpg,FN,articulated
fn_near_41_F_000225_a14669.jpg,FN,articulated
fn_near_42_F_000235_a14040.jpg,FN,articulated
fn_near_43_F_000240_a13031.jpg,FN,label_noise
fn_near_44_F_000250_a12627.jpg,FN,articulated
fn_near_45_F_000255_a12284.jpg,FN,articulated
fn_near_46_F_000245_a11880.jpg,FN,articulated
fn_near_47_F_000190_a11618.jpg,FN,articulated
fn_near_48_F_000120_a11340.jpg,FN,motion_blur
fn_near_49_F_000135_a9260.jpg,FN,articulated
